# eta lambda l= m to 9 (computed with gyre.eval_lambda)
2.22000 4.4588933609e+00 1.9859438478e+01 6.1371113835e+01 1.3726835637e+02 2.4975177729e+02 3.9933412421e+02 5.8616188485e+02 8.1028695056e+02
2.24000 4.4550423642e+00 2.0013082367e+01 6.2226124547e+01 1.3953814323e+02 2.5415945288e+02 4.0659875977e+02 5.9700050860e+02 8.2541571060e+02
2.26000 4.4512498829e+00 2.0167815621e+01 6.3089011889e+01 1.4182901923e+02 2.5860757091e+02 4.1392940613e+02 6.0793699148e+02 8.4068049083e+02
2.28000 4.4475147197e+00 2.0323631111e+01 6.3959753265e+01 1.4414094219e+02 2.6309607903e+02 4.2132600949e+02 6.1897128411e+02 8.5608125049e+02
2.30000 4.4438357067e+00 2.0480521898e+01 6.4838326983e+01 1.4647387194e+02 2.6762492775e+02 4.2878851913e+02 6.3010334009e+02 8.7161795149e+02
2.32000 4.4402117040e+00 2.0638481224e+01 6.5724712219e+01 1.4882777031e+02 2.7219407025e+02 4.3631688727e+02 6.4133311585e+02 8.8729055814e+02
2.34000 4.4366415996e+00 2.0797502515e+01 6.6618888978e+01 1.5120260094e+02 2.7680346218e+02 4.4391106880e+02 6.5266057038e+02 9.0309903706e+02
2.36000 4.4331243082e+00 2.0957579371e+01 6.7520838059e+01 1.5359832923e+02 2.8145306151e+02 4.5157102111e+02 6.6408566508e+02 9.1904335689e+02
2.38000 4.4296587705e+00 2.1118705567e+01 6.8430541018e+01 1.5601492219e+02 2.8614282841e+02 4.5929670395e+02 6.7560836358e+02 9.3512348824e+02
2.40000 4.4262439529e+00 2.1280875046e+01 6.9347980136e+01 1.5845234840e+02 2.9087272508e+02 4.6708807925e+02 6.8722863158e+02 9.5133940349e+02
2.42000 4.4228788464e+00 2.1444081918e+01 7.0273138390e+01 1.6091057788e+02 2.9564271563e+02 4.7494511097e+02 6.9894643671e+02 9.6769107666e+02
2.44000 4.4195624660e+00 2.1608320454e+01 7.1205999421e+01 1.6338958203e+02 3.0045276599e+02 4.8286776498e+02 7.1076174839e+02 9.8417848332e+02
2.46000 4.4162938502e+00 2.1773585082e+01 7.2146547501e+01 1.6588933358e+02 3.0530284375e+02 4.9085600895e+02 7.2267453773e+02 1.0008016004e+03
2.48000 4.4130720603e+00 2.1939870385e+01 7.3094767512e+01 1.6840980644e+02 3.1019291812e+02 4.9890981218e+02 7.3468477739e+02 1.0175604063e+03
2.50000 4.4098961798e+00 2.2107171095e+01 7.4050644915e+01 1.7095097574e+02 3.1512295977e+02 5.0702914558e+02 7.4679244148e+02 1.0344548805e+03
2.52000 4.4067653139e+00 2.2275482090e+01 7.5014165727e+01 1.7351281768e+02 3.2009294079e+02 5.1521398149e+02 7.5899750550e+02 1.0514850037e+03
2.54000 4.4036785886e+00 2.2444798391e+01 7.5985316495e+01 1.7609530951e+02 3.2510283461e+02 5.2346429365e+02 7.7129994620e+02 1.0686507575e+03
2.56000 4.4006351505e+00 2.2615115157e+01 7.6964084274e+01 1.7869842948e+02 3.3015261587e+02 5.3178005708e+02 7.8369974154e+02 1.0859521249e+03
2.58000 4.3976341664e+00 2.2786427682e+01 7.7950456603e+01 1.8132215676e+02 3.3524226041e+02 5.4016124803e+02 7.9619687060e+02 1.1033890893e+03
2.60000 4.3946748220e+00 2.2958731390e+01 7.8944421489e+01 1.8396647142e+02 3.4037174518e+02 5.4860784386e+02 8.0879131350e+02 1.1209616354e+03
2.62000 4.3917563224e+00 2.3132021834e+01 7.9945967381e+01 1.8663135438e+02 3.4554104817e+02 5.5711982304e+02 8.2148305135e+02 1.1386697485e+03
2.64000 4.3888778908e+00 2.3306294688e+01 8.0955083155e+01 1.8931678734e+02 3.5075014835e+02 5.6569716504e+02 8.3427206619e+02 1.1565134147e+03
2.66000 4.3860387685e+00 2.3481545747e+01 8.1971758093e+01 1.9202275278e+02 3.5599902564e+02 5.7433985027e+02 8.4715834091e+02 1.1744926208e+03
2.68000 4.3832382141e+00 2.3657770926e+01 8.2995981870e+01 1.9474923390e+02 3.6128766084e+02 5.8304786006e+02 8.6014185923e+02 1.1926073543e+03
2.70000 4.3804755034e+00 2.3834966248e+01 8.4027744530e+01 1.9749621456e+02 3.6661603559e+02 5.9182117657e+02 8.7322260566e+02 1.2108576033e+03
2.72000 4.3777499285e+00 2.4013127849e+01 8.5067036478e+01 2.0026367931e+02 3.7198413230e+02 6.0065978278e+02 8.8640056539e+02 1.2292433565e+03
2.74000 4.3750607980e+00 2.4192251972e+01 8.6113848460e+01 2.0305161329e+02 3.7739193416e+02 6.0956366242e+02 8.9967572434e+02 1.2477646031e+03
2.76000 4.3724074359e+00 2.4372334963e+01 8.7168171552e+01 2.0586000224e+02 3.8283942505e+02 6.1853279992e+02 9.1304806904e+02 1.2664213329e+03
2.78000 4.3697891816e+00 2.4553373267e+01 8.8229997142e+01 2.0868883247e+02 3.8832658954e+02 6.2756718041e+02 9.2651758663e+02 1.2852135362e+03
2.80000 4.3672053896e+00 2.4735363429e+01 8.9299316922e+01 2.1153809082e+02 3.9385341281e+02 6.3666678964e+02 9.4008426485e+02 1.3041412035e+03
2.82000 4.3646554286e+00 2.4918302088e+01 9.0376122872e+01 2.1440776463e+02 3.9941988069e+02 6.4583161399e+02 9.5374809195e+02 1.3232043262e+03
2.84000 4.3621386818e+00 2.5102185973e+01 9.1460407248e+01 2.1729784173e+02 4.0502597956e+02 6.5506164039e+02 9.6750905671e+02 1.3424028957e+03
2.86000 4.3596545460e+00 2.5287011903e+01 9.2552162574e+01 2.2020831043e+02 4.1067169633e+02 6.6435685634e+02 9.8136714840e+02 1.3617369039e+03
2.88000 4.3572024315e+00 2.5472776784e+01 9.3651381628e+01 2.2313915944e+02 4.1635701848e+02 6.7371724983e+02 9.9532235673e+02 1.3812063431e+03
2.90000 4.3547817617e+00 2.5659477606e+01 9.4758057431e+01 2.2609037794e+02 4.2208193395e+02 6.8314280937e+02 1.0093746719e+03 1.4008112061e+03
2.92000 4.3523919728e+00 2.5847111439e+01 9.5872183243e+01 2.2906195549e+02 4.2784643114e+02 6.9263352390e+02 1.0235240844e+03 1.4205514856e+03
2.94000 4.3500325134e+00 2.6035675431e+01 9.6993752545e+01 2.3205388202e+02 4.3365049894e+02 7.0218938283e+02 1.0377705852e+03 1.4404271751e+03
2.96000 4.3477028443e+00 2.6225166809e+01 9.8122759037e+01 2.3506614784e+02 4.3949412664e+02 7.1181037598e+02 1.0521141656e+03 1.4604382679e+03
2.98000 4.3454024381e+00 2.6415582871e+01 9.9259196627e+01 2.3809874362e+02 4.4537730393e+02 7.2149649358e+02 1.0665548174e+03 1.4805847581e+03
3.00000 4.3431307789e+00 2.6606920989e+01 1.0040305942e+02 2.4115166036e+02 4.5130002091e+02 7.3124772622e+02 1.0810925326e+03 1.5008666395e+03
3.02000 4.3408873621e+00 2.6799178604e+01 1.0155434172e+02 2.4422488936e+02 4.5726226804e+02 7.4106406488e+02 1.0957273034e+03 1.5212839067e+03
3.04000 4.3386716940e+00 2.6992353224e+01 1.0271303801e+02 2.4731842224e+02 4.6326403613e+02 7.5094550086e+02 1.1104591225e+03 1.5418365540e+03
3.06000 4.3364832917e+00 2.7186442423e+01 1.0387914294e+02 2.5043225094e+02 4.6930531632e+02 7.6089202580e+02 1.1252879828e+03 1.5625245764e+03
3.08000 4.3343216826e+00 2.7381443838e+01 1.0505265135e+02 2.5356636763e+02 4.7538610010e+02 7.7090363164e+02 1.1402138776e+03 1.5833479687e+03
3.10000 4.3321864043e+00 2.7577355167e+01 1.0623355824e+02 2.5672076479e+02 4.8150637923e+02 7.8098031065e+02 1.1552368002e+03 1.6043067263e+03
3.12000 4.3300770042e+00 2.7774174170e+01 1.0742185876e+02 2.5989543513e+02 4.8766614579e+02 7.9112205536e+02 1.1703567444e+03 1.6254008444e+03
3.14000 4.3279930397e+00 2.7971898662e+01 1.0861754821e+02 2.6309037163e+02 4.9386539214e+02 8.0132885857e+02 1.1855737040e+03 1.6466303186e+03
3.16000 4.3259340773e+00 2.8170526517e+01 1.0982062204e+02 2.6630556748e+02 5.0010411089e+02 8.1160071334e+02 1.2008876734e+03 1.6679951447e+03
3.18000 4.3238996928e+00 2.8370055661e+01 1.1103107584e+02 2.6954101613e+02 5.0638229493e+02 8.2193761300e+02 1.2162986467e+03 1.6894953186e+03
3.20000 4.3218894710e+00 2.8570484075e+01 1.1224890535e+02 2.7279671121e+02 5.1269993737e+02 8.3233955109e+02 1.2318066187e+03 1.7111308362e+03
3.22000 4.3199030054e+00 2.8771809789e+01 1.1347410642e+02 2.7607264660e+02 5.1905703158e+02 8.4280652140e+02 1.2474115840e+03 1.7329016939e+03
